X ,  Y  
X ,Y  
-0.00 ,0.02
0.00 ,100.00
-0.00 ,0.16
-0.00 ,0.15
0.01 ,0.10
-0.01 ,0.10
-0.01 ,0.13
-0.01 ,0.16
-0.01 ,0.13
-0.02 ,0.13
-0.01 ,0.16
-0.01 ,0.13
-0.01 ,0.14
-0.01 ,0.16
-0.00 ,0.16
-0.00 ,0.17
-0.00 ,0.17
-0.00 ,0.17
-0.00 ,0.03
0.00 ,0.16
0.00 ,0.16
0.00 ,0.15
-0.00 ,0.14
-0.00 ,0.14
-0.00 ,0.12
0.02 ,0.14
0.02 ,0.15
0.02 ,0.12
0.02 ,0.12
0.02 ,0.13
0.01 ,0.12
0.00 ,0.14
0.00 ,0.11
0.00 ,0.14
-0.01 ,0.14
-0.01 ,0.13
-0.01 ,0.13
-0.01 ,0.13
0.01 ,0.09
0.02 ,0.13
0.02 ,0.13
0.02 ,0.13
0.02 ,0.13
0.01 ,0.13
0.01 ,0.14
0.02 ,0.12
0.02 ,0.13
0.02 ,0.13
0.02 ,0.13
0.01 ,0.14
0.01 ,0.12
0.01 ,0.14
0.01 ,0.11
0.02 ,0.12
0.00 ,0.11
0.01 ,0.14
0.01 ,0.14
0.02 ,0.10
0.02 ,0.13
0.01 ,0.11
0.01 ,0.15
0.01 ,0.14
-0.01 ,0.10
-0.01 ,0.14
0.00 ,0.14
-0.01 ,0.12
-0.00 ,0.13
-0.01 ,0.14
-0.01 ,0.13
-0.01 ,0.12
0.00 ,0.13
0.02 ,0.11
0.01 ,0.11
0.01 ,0.15
-0.01 ,0.12
0.01 ,0.11
0.01 ,0.10
0.01 ,0.14
0.01 ,0.15
0.01 ,0.10
-0.01 ,0.14
-0.01 ,0.14
0.00 ,0.14
-0.01 ,0.12
-0.01 ,0.12
-0.01 ,0.14
-0.01 ,0.12
0.00 ,0.14
-0.01 ,0.11
0.01 ,0.10
0.02 ,0.13
0.02 ,0.14
0.02 ,0.14
-0.00 ,0.10
-0.01 ,0.14
-0.01 ,0.14
0.01 ,0.14
0.01 ,0.11
0.01 ,0.10
0.01 ,0.15
-0.01 ,0.11
-0.01 ,0.12
-0.01 ,0.13
-0.01 ,0.14
0.01 ,0.14
-0.01 ,0.12
-0.01 ,0.12
0.02 ,0.12
0.01 ,0.10
0.01 ,0.15
-0.01 ,0.11
-0.01 ,0.12
0.02 ,0.13
0.01 ,0.11
-0.01 ,0.14
0.01 ,0.14
-0.01 ,0.11
-0.01 ,0.13
-0.01 ,0.14
-0.00 ,0.14
-0.01 ,0.12
0.02 ,0.12
0.02 ,0.12
0.01 ,0.14
0.01 ,0.11
-0.01 ,0.13
-0.00 ,0.13
-0.01 ,0.14
0.01 ,0.14
-0.01 ,0.12
-0.01 ,0.12
-0.00 ,0.13
-0.01 ,0.14
-0.01 ,0.12
-0.01 ,0.13
0.01 ,0.13
0.02 ,0.12
0.01 ,0.11
0.01 ,0.15
-0.01 ,0.11
-0.01 ,0.13
-0.01 ,0.14
0.01 ,0.14
-0.01 ,0.12
0.01 ,0.12
0.01 ,0.10
0.01 ,0.15
-0.01 ,0.11
0.07 ,4.27
0.01 ,0.02
-0.00 ,0.11
-0.01 ,0.11
-0.01 ,0.11
-0.01 ,0.14
-0.01 ,0.14
-0.01 ,0.14
0.01 ,0.13
0.01 ,0.11
0.02 ,0.14
0.02 ,0.14
-0.00 ,0.10
-0.01 ,0.14
-0.00 ,0.13
-0.01 ,0.14
-0.01 ,0.14
0.00 ,0.13
0.01 ,0.10
0.01 ,0.02
-0.01 ,0.10
-0.01 ,0.14
0.00 ,0.13
-0.01 ,0.13
-0.01 ,0.14
-0.01 ,0.14
0.00 ,0.13
0.03 ,0.12
-0.01 ,0.11
-0.02 ,0.13
